bout_id,t_start,t_end,duration_sec,task_name,rmssd_end,rmssd_recovery,delta_rmssd,qc_ok,effort,subject_id,eda_cc_std,eda_cc_range,eda_cc_iqr,eda_cc_mad,eda_cc_mean_abs_diff,eda_cc_kurtosis,acc_z_dyn__quantile_0.4,acc_z_dyn__sum_of_absolute_changes,acc_x_dyn__cardinality,acc_z_dyn__harmonic_mean_of_abs,acc_x_dyn__cardinality_r,ppg_infra_mean_cross_rate,ppg_red_zcr,ppg_red_mean_cross_rate,rmssd_during_effort
22,1764868014.615,1764868025.778,11.163000106811523,Put Toothpaste,0.159006885169206,0.1585566987505015,-0.0004501864187045068,True,1.0,parsingsim3_sim_elderly3,0.144336862522408,0.4984375000000038,0.24921874999999236,0.125,0.001562499999999933,-1.1999999999999993,-3.3007333656930187,1509.3456394097987,318.3333333333333,3.0809606209567098,320.0,0.07419017763845347,0.0637408568443051,0.05747126436781604,0.15275100099040737
23,1764868026.971,1764868090.063,63.092000007629395,Brush Teeth,0.1597951501996463,0.2765252167682009,0.11673006656855461,True,4.5,parsingsim3_sim_elderly3,0.144336862522408,0.49843749999999976,0.24921874999998833,0.125,0.0015624999999999192,-1.2000000000000002,-1.7812741277599544,1269.3035893148456,318.42857142857144,0.9999288862491278,319.9047619047619,0.17942976563666216,0.18151962979549183,0.18092252575011192,0.1370932888885699
24,1764868105.219,1764868123.671,18.45199990272522,Rinse Mouth,0.24665688742348088,0.28005112170382734,0.03339423428034646,True,1.5,parsingsim3_sim_elderly3,0.09710226136217938,0.33784722222222285,0.16614583333332195,0.08333333333333333,0.0010590822013235334,-1.1772035197820359,-18.059441252569624,3390.8132021425986,320.0,7.146353678483181,318.8333333333333,0.07471264367816088,0.06269592476489023,0.06583072100313474,0.13254963482395674
25,1764868134.09,1764868159.532,25.442000150680542,Wash Face,0.2754100139953411,0.28338402950850655,0.007974015513165456,True,3.0,parsingsim3_sim_elderly3,0.09622457501493858,0.33229166666666643,0.1661458333333243,0.08333333333333393,0.0010416666666666127,-1.2000000000000006,-14.243943533410373,6647.1367578412455,320.0,6.948443989477871,320.0,0.1112852664576802,0.09874608150470215,0.09874608150470215,0.2628764042401866
26,1764868179.218,1764868240.215,60.996999979019165,Style Beard/Hair,0.24197235187182628,0.18673257172875402,-0.055239780143072265,True,3.5,parsingsim3_sim_elderly3,0.13116500075786183,0.4527864583333354,0.22638671874998972,0.11334635416666643,0.0014193932863113253,-1.1945708152496957,-17.837459954951033,4575.440672252132,319.7,11.316015986403656,319.6,0.09122257053291533,0.10282131661442002,0.10188087774294666,0.261757301866911
30,1764868604.323,1764868635.498,31.174999952316284,Arm Raise,0.31705610989333805,0.31104920041336875,-0.006006909479969291,True,4.0,parsingsim3_sim_elderly3,0.144336862522408,0.4984374999999995,0.24921874999998808,0.125,0.0015624999999999183,-1.2,-18.395616822941815,9822.736926980357,319.72727272727275,33.95352623365654,320.0,0.07210031347962377,0.10914790538614988,0.10401823881447703,0.3238184652509798
31,1764868692.014,1764868756.646,64.63199996948242,Level Walking,0.24142941276110305,0.4273586002421563,0.18592918748105322,True,6.0,parsingsim3_sim_elderly3,0.13634985620973825,0.470709325396824,0.23536086309522777,0.11785714285714259,0.001475577822560505,-1.1948358962339145,-11.963434001230704,3175.830544195377,319.6666666666667,6.906251895668765,319.85714285714283,0.08135542618301234,0.07493655769517835,0.07478728168383335,0.21673688128748939
6,1764864469.002,1764864650.111,181.10899996757507,Stand,0.19345033800161135,0.20030549710750595,0.006855159105894598,True,,parsingsim3_sim_healthy3,0.24868114346689596,0.8584722222222214,0.4292274305555485,0.21491319444444498,0.002691135492859565,-1.1943772216173953,-0.7329463708040149,424.8347537757491,314.85,0.4832758187106724,,0.13991640543364678,0.14660397074190173,0.14597701149425282,0.2913141520731574
12,1764864797.251,1764864803.925,6.674000024795532,(Un)button Shirt,0.3778168065037657,0.20862209449603974,-0.16919471200772596,True,,parsingsim3_sim_healthy3,0.0,0.0,0.0,0.0,0.0,0.0,-14.744232745261964,3593.5985249947535,320.0,9.476736201459099,,0.07053291536050149,0.0893416927899686,0.0893416927899686,0.4038767820488385
13,1764864806.476,1764864814.119,7.642999887466431,(Un)button Shirt,0.3748230695658244,0.18270281871049063,-0.19212025085533377,True,,parsingsim3_sim_healthy3,0.0,0.0,0.0,0.0,0.0,0.0,-29.00778561932192,4280.602927421743,319.6666666666667,13.41411112147882,,0.05956112852664574,0.07419017763845344,0.07314524555903863,0.15239382189946218
14,1764864816.795,1764864832.795,16.0,Arm in Sleeves,0.28832635697853143,0.16407221769102148,-0.12425413928750995,True,,parsingsim3_sim_healthy3,0.029058205531171766,0.09678819444444285,0.048415798611109985,0.0208333333333357,0.0003034112678508833,0.03631685288594547,-25.18642398293528,7609.620679203509,320.0,18.733672635892436,,0.06374085684430507,0.07889237199582023,0.07993730407523507,0.625
18,1764864918.496,1764864927.773,9.276999950408936,Lower/Raise Pants,0.3364518833231086,0.2179598774282738,-0.1184920058948348,True,,parsingsim3_sim_healthy3,0.09622457501493864,0.33229166666667237,0.16614583333334085,0.08333333333333097,0.0010416666666666,-1.1999999999999986,-16.714794128531008,7488.392618616963,320.0,14.57309439963381,,0.08672936259143153,0.0815047021943573,0.08254963427377217,0.03746743377588062
19,1764864931.136,1764864937.994,6.858000040054321,Transfer from Toilet,0.30671627071943297,0.21648622411579718,-0.09023004660363579,True,,parsingsim3_sim_healthy3,0.09622457501493856,0.33229166666667,0.1661458333333385,0.08333333333333215,0.0010416666666666,-1.200000000000002,-24.844946111297133,4151.694195812535,319.5,7.1239921878852135,,0.0752351097178683,0.0783699059561128,0.07993730407523505,
20,1764864940.926,1764864972.86,31.93399977684021,Wash Hands,0.22791770056194438,0.21171586746240498,-0.016201833099539403,True,,parsingsim3_sim_healthy3,0.14148628826818802,0.48677083333333543,0.24503906249999258,0.12249999999999872,0.00152592737722044,-1.2026487493514488,-49.618969451838495,10713.536412496553,319.6,19.09129792543296,,0.08557993730407522,0.0946708463949843,0.09717868338557992,0.20369783736913763
21,1764864992.754,1764865001.582,8.82800006866455,Put Toothpaste,0.20505474766964993,0.1968327199701706,-0.008222027699479328,True,,parsingsim3_sim_healthy3,0.14602227048909722,0.5093750000000009,0.24921875000000182,0.125,0.0015967868338557332,-1.171654666739649,-8.452713028548812,1648.137124037202,320.0,4.253578594460469,,0.06060606060606057,0.07941483803552767,0.083594566353187,0.05450117066785508
22,1764865002.774,1764865064.277,61.503000020980835,Brush Teeth,0.19928402504766898,0.20275619491445374,0.0034721698667847523,True,,parsingsim3_sim_healthy3,0.1924772834989684,0.664533730158726,0.3322668650793603,0.16640625000000142,0.002083177837488133,-1.1979480677063048,-2.0371440042670836,1003.3003996301811,319.14285714285717,1.283846057020671,,0.10986714434990291,0.09225257501119566,0.0938946111359904,0.17113087885844458
23,1764865067.392,1764865087.847,20.454999923706055,Rinse Mouth,0.18566856216369923,0.2156860234291975,0.030017461265498258,True,,parsingsim3_sim_healthy3,0.2405614375373466,0.8307291666666572,0.4153645833333144,0.2083333333333428,0.0026041666666665997,-1.2000000000000004,-6.832606521865476,3313.4910896429287,319.7142857142857,6.137564148620777,,0.051052395879982025,0.06806986117330939,0.06448723690102995,0.16018482976705378
24,1764865095.219,1764865129.837,34.617999792099,Wash Face,0.21239725881374663,0.18841714146928454,-0.023980117344462093,True,,parsingsim3_sim_healthy3,0.25059817682737334,0.86527777777777,0.43264973958331393,0.21684027777778425,0.0027124695228142835,-1.1981827004727248,-17.26199543529816,7427.911186540052,319.1666666666667,12.994023068309607,,0.07915360501567394,0.10083594566353182,0.1003134796238244,0.18628894919223157
25,1764865134.177,1764865195.645,61.46799993515015,Style Beard/Hair,0.17010201985224205,0.35821508285154247,0.18811306299930042,True,,parsingsim3_sim_healthy3,0.28867372504481603,0.9968750000000008,0.4984374999999889,0.25,0.0031249999999999425,-1.2000000000000004,-11.672611673322825,6701.7160144630925,319.95238095238096,9.482182505578342,,0.12509329750709058,0.12016718913270634,0.1198686371100164,0.1750041475135931
26,1764865225.297,1764865279.858,54.56100010871887,Indoor Activity,0.32355116580925075,0.2707599796786332,-0.05279118613061756,True,,parsingsim3_sim_healthy3,0.32209035924237184,1.1122106481481464,0.5561125578703638,0.2788339120370382,0.0034865537559502276,-1.1991343249414474,-14.42969338361324,4060.271633399238,319.72222222222223,8.186919507055551,,0.06321839080459765,0.07523510971786831,0.07331940090560776,0.3497130171096545
27,1764865283.351,1764865344.108,60.75699996948242,Eating/Drinking,0.2265332328764664,0.28045841564707125,0.053925182770604846,True,,parsingsim3_sim_healthy3,0.3367860125522853,1.1630208333333314,0.5815104166666629,0.2916666666666686,0.0036458333333332397,-1.2000000000000004,-7.75779362748587,2672.1641547368395,319.35,6.787573148494793,,0.06645768025078365,0.06818181818181814,0.06880877742946703,0.2687658970588996
