feature,nan_ratio,variance
acc_x_dyn__trimmed_mean_abs_0.2,0.0,1082.0153497855079
acc_x_dyn__trimmed_mean_abs_0.15,0.0,1118.605554267518
acc_x_dyn__trimmed_mean_abs_0.1,0.0,1173.0060848721653
acc_x_dyn__harmonic_mean_of_abs,0.0,202.26769624918862
acc_x_dyn__geometric_mean_of_abs,0.0,668.9902653877538
acc_x_dyn__mean_of_abs,0.0,1380.536873181108
acc_x_dyn__trimmed_mean_0.3,0.0,198.18587069890958
acc_x_dyn__trimmed_mean_0.25,0.0,181.26927801735636
acc_x_dyn__trimmed_mean_0.2,0.0,156.12161175415486
acc_x_dyn__trimmed_mean_0.15,0.0,137.8864550727688
acc_x_dyn__trimmed_mean_0.1,0.0,121.84592779889901
acc_x_dyn__iqr,0.0,3744.3109441925353
acc_x_dyn__quantile_0.2,0.0,1560.0269498231505
acc_x_dyn__impulse_factor,0.0,1.0251372533932441
acc_x_dyn__approximate_entropy_0.2,0.0,0.006326679690132546
acc_x_dyn__no._of_mean_crossings,0.0,10.60505703091371
acc_x_dyn__shape_factor,0.0,0.015928320858465475
acc_x_dyn__clearance_factor,0.0,2.338282922943131
acc_x_dyn__crest_factor,0.0,0.27285934784406796
acc_x_dyn__no._of_zero_crossings,0.0,10.435511955164628
acc_x_dyn__binned_entropy,0.0,0.03545574541047753
acc_x_dyn__permutation_entropy,0.0,0.06014344960198465
acc_x_dyn__svd_entropy,0.0,0.027656123910212
acc_x_dyn__tsallis_entropy,0.0,1.493314212835795
acc_x_dyn__renyi_entropy,0.0,8.19787610888283
acc_x_dyn__approximate_entropy_0.9,0.0,0.009208014429674916
acc_x_dyn__approximate_entropy_0.7,0.0,0.01168597153943635
acc_x_dyn__approximate_entropy_0.5,0.0,0.012396481270736802
acc_x_dyn__approximate_entropy_0.3,0.0,0.009917700223894536
acc_x_dyn__approximate_entropy_0.1,0.0,0.00484593134884213
acc_x_dyn__quantile_0.25,0.0,1074.41445857677
acc_x_dyn__differential_entropy,0.0,0.03545574541047753
acc_x_dyn__sample_entropy,0.0,0.07134523711753328
acc_x_dyn__entropy,0.0,3.1081378814912295
acc_x_dyn__log_of_energy,0.0,8.31136806105427
acc_x_dyn__energy,0.0,410614979451.14795
acc_x_dyn__rms,0.0,2209.8457270477147
acc_x_dyn__mean_abs_deviation,0.0,805.9691368661389
acc_x_dyn__quantile_0.9,0.0,4064.6088548810153
acc_x_dyn__quantile_0.8,0.0,1731.5172419050125
acc_x_dyn__quantile_0.75,0.0,1112.626154557114
acc_x_dyn__quantile_0.7,0.0,728.9299535442426
acc_x_dyn__quantile_0.6,0.0,331.97130142418365
acc_x_dyn__quantile_0.4,0.0,385.53626972664915
acc_x_dyn__quantile_0.3,0.0,735.2574795312212
acc_x_dyn__number_of_inflection_points,0.0,3.9068035132398866
acc_x_dyn__peak_to_peak_distance,0.0,39559.77966783462
acc_x_dyn__percentage_of_negative_values,0.0,163.36178877115384
acc_y_dyn__energy,0.0,1226119598595.357
acc_y_dyn__permutation_entropy,0.0,0.07711546536020703
acc_y_dyn__svd_entropy,0.0,0.03436458245983757
acc_y_dyn__tsallis_entropy,0.0,1.809574944877928
acc_y_dyn__renyi_entropy,0.0,8.519288158656408
acc_y_dyn__approximate_entropy_0.9,0.0,0.01092621135310353
acc_y_dyn__approximate_entropy_0.7,0.0,0.013621892462686021
acc_y_dyn__approximate_entropy_0.5,0.0,0.013934653334177639
acc_y_dyn__approximate_entropy_0.3,0.0,0.010496378472034724
acc_y_dyn__approximate_entropy_0.2,0.0,0.006681840523402972
acc_y_dyn__approximate_entropy_0.1,0.0,0.0049111596575018845
acc_y_dyn__differential_entropy,0.0,0.03001624601989684
acc_y_dyn__sample_entropy,0.0,0.08069641157725284
